__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778092886.692411,,,,1778092886.692339420,0.660940076,-1.222311278,-0.839274428,-0.296807358
1778092886.693472,-6.425576407,1.402891522,0.000000000,,,,,
1778092886.693487,,,,1778092886.693387508,0.659648856,-1.229061815,-0.839584698,-0.295333518
1778092886.694414,-6.431529145,1.428472580,0.000000000,,,,,
1778092886.694458,,,,1778092886.694279194,0.658536823,-1.234853658,-0.839849499,-0.294047123
1778092886.695371,-6.436619016,1.450376757,0.000000000,,,,,
1778092886.695391,,,,1778092886.695301533,0.657290324,-1.241317144,-0.840143311,-0.292590692
1778092886.696358,-6.442296713,1.474832592,0.000000000,,,,,
1778092886.696395,,,,1778092886.696289539,0.656058118,-1.247679543,-0.840430834,-0.291134150
1778092886.697458,-6.447874638,1.498888937,0.000000000,,,,,
1778092886.697479,,,,1778092886.697390079,0.654696571,-1.254676635,-0.840745002,-0.289507589
1778092886.698457,-6.454004485,1.525355071,0.000000000,,,,,
1778092886.698474,,,,1778092886.698367119,0.653419232,-1.261213160,-0.841036646,-0.287962731
1778092886.699311,-6.459714736,1.550047980,0.000000000,,,,,
1778092886.699327,,,,1778092886.699246168,0.652302937,-1.266904944,-0.841289172,-0.286596952
1778092886.700464,-6.464670361,1.571511995,0.000000000,,,,,
1778092886.700479,,,,1778092886.700366974,0.650874221,-1.274153811,-0.841608559,-0.284834808
1778092886.701280,-6.470987357,1.598897234,0.000000000,,,,,
1778092886.701296,,,,1778092886.701236248,0.649758896,-1.279793206,-0.841855575,-0.283441387
1778092886.702430,-6.475877518,1.620140144,0.000000000,,,,,
1778092886.702463,,,,1778092886.702340841,0.648326459,-1.287000883,-0.842169040,-0.281638164
1778092886.703416,-6.482132936,1.647340569,0.000000000,,,,,
1778092886.703430,,,,1778092886.703343630,0.647031862,-1.293488571,-0.842449269,-0.279989412
1778092886.704393,-6.487743594,1.671784648,0.000000000,,,,,
1778092886.704507,,,,1778092886.704354763,0.645733703,-1.299967290,-0.842727202,-0.278319953
1778092886.705418,-6.493334459,1.696182748,0.000000000,,,,,
1778092886.705449,,,,1778092886.705380678,0.644502554,-1.306088057,-0.842988045,-0.276721092
1778092886.706473,-6.498601818,1.719209960,0.000000000,,,,,
1778092886.706520,,,,1778092886.706328154,0.643198446,-1.312544886,-0.843261291,-0.275012933
1778092886.707553,-6.504149877,1.743502594,0.000000000,,,,,
